Price,Bedrooms,Bathrooms,sqft,cars_garage,stories,lot_sqft,fireplace,kitchen_dim,url
608100,5,4,2987,2,2,6098,1,,https://www.zillow.com/homedetails/2304-Dugan-Dr-Nolensville-TN-37135/247622467_zpid/
509900,4,3,2704,2,2,17859.6,,288,https://www.zillow.com/homedetails/704-French-River-Rd-Nolensville-TN-37135/197356635_zpid/
529900,3,4,2939,2,2.5,10454,1,156,https://www.zillow.com/homedetails/5088-Aunt-Nannies-Pl-Nolensville-TN-37135/125114596_zpid/
499900,4,3,3295,3,2,17424,1,260,https://www.zillow.com/homedetails/1191-Ben-Hill-Blvd-Nolensville-TN-37135/81238178_zpid/
559900,4,3,3007,2,2,9147,2,132,https://www.zillow.com/homedetails/2207-Carouth-Ct-Nolensville-TN-37135/121211008_zpid/
519900,4,4,2918,2,2,11761.2,1,200,https://www.zillow.com/homedetails/8192-Middlewick-Ln-Nolensville-TN-37135/108791234_zpid/
630000,3,2,3174,0,2,227818.8,1,121,https://www.zillow.com/homedetails/2834-Sanford-Rd-Nolensville-TN-37135/81326153_zpid/
389900,3,2,1927,2,1,6969,1,198,https://www.zillow.com/homedetails/4532-Sawmill-Pl-Nolensville-TN-37135/70535743_zpid/
359900,3,3,2000,2,2,7840,,180,https://www.zillow.com/homedetails/1845-Looking-Glass-Ln-Nolensville-TN-37135/108806777_zpid/
429900,3,3,2365,2,2,5227,1,240,https://www.zillow.com/homedetails/2109-Glen-Haven-Dr-Nolensville-TN-37135/2077231872_zpid/
428000,4,3,2406,2,2,6969,1,176,https://www.zillow.com/homedetails/8045-Canonbury-Dr-Nolensville-TN-37135/81080875_zpid/
625000,4,3,2941,3,2,12632.4,1,187,https://www.zillow.com/homedetails/109-Corbin-Ct-Nolensville-TN-37135/197356381_zpid/